timestamp,displ
2022-01-01 00:00:00 UTC,1.710770394
2022-01-01 01:00:00 UTC,1.583514077
2022-01-01 02:00:00 UTC,0.547375624
2022-01-01 03:00:00 UTC,1.234122966
2022-01-01 04:00:00 UTC,0.952158206
2022-01-01 05:00:00 UTC,1.725536582
2022-01-01 06:00:00 UTC,1.33203308
2022-01-01 07:00:00 UTC,1.165084315
2022-01-01 08:00:00 UTC,0.253330122
2022-01-01 09:00:00 UTC,1.374932507
2022-01-01 10:00:00 UTC,0.59414488
2022-01-01 11:00:00 UTC,2.017731724
2022-01-01 12:00:00 UTC,1.571573095
2022-01-01 13:00:00 UTC,0.554866046
2022-01-01 14:00:00 UTC,0.763528036
2022-01-01 15:00:00 UTC,1.270577609
2022-01-01 16:00:00 UTC,0.557998441
2022-01-01 17:00:00 UTC,0.456276832
2022-01-01 18:00:00 UTC,1.243286839
2022-01-01 19:00:00 UTC,2.04189021
2022-01-01 20:00:00 UTC,1.782488228
2022-01-01 21:00:00 UTC,1.767366758
2022-01-01 22:00:00 UTC,0.703230461
2022-01-01 23:00:00 UTC,1.75162014
2022-01-02 00:00:00 UTC,1.306840567
2022-01-02 01:00:00 UTC,1.142050711
2022-01-02 02:00:00 UTC,1.689878718
2022-01-02 03:00:00 UTC,2.391267457
2022-01-02 04:00:00 UTC,1.617125217
2022-01-02 05:00:00 UTC,1.164415908
2022-01-02 06:00:00 UTC,2.091324758
2022-01-02 07:00:00 UTC,1.820639206
2022-01-02 08:00:00 UTC,1.370045917
2022-01-02 09:00:00 UTC,1.271758887
2022-01-02 10:00:00 UTC,0.860994189
2022-01-02 11:00:00 UTC,2.33448123
2022-01-02 12:00:00 UTC,0.914531682
2022-01-02 13:00:00 UTC,1.138093559
2022-01-02 14:00:00 UTC,0.873393223
2022-01-02 15:00:00 UTC,2.484942626
2022-01-02 16:00:00 UTC,1.999302481
2022-01-02 17:00:00 UTC,2.572809027
2022-01-02 18:00:00 UTC,2.319243008
2022-01-02 19:00:00 UTC,2.619604596
2022-01-02 20:00:00 UTC,1.759249813
2022-01-02 21:00:00 UTC,2.594931863
2022-01-02 22:00:00 UTC,1.057933276
2022-01-02 23:00:00 UTC,1.768699133
2022-01-03 00:00:00 UTC,1.527993447
2022-01-03 01:00:00 UTC,1.812122983
2022-01-03 02:00:00 UTC,1.170374631
2022-01-03 03:00:00 UTC,1.81800034
2022-01-03 04:00:00 UTC,2.713155362
2022-01-03 05:00:00 UTC,2.321578596
2022-01-03 06:00:00 UTC,2.134545211
2022-01-03 07:00:00 UTC,2.631887405
2022-01-03 08:00:00 UTC,1.537579736
2022-01-03 09:00:00 UTC,2.687946743
2022-01-03 10:00:00 UTC,1.603942283
2022-01-03 11:00:00 UTC,2.221825059
2022-01-03 12:00:00 UTC,1.297669692
2022-01-03 13:00:00 UTC,2.546630111
2022-01-03 14:00:00 UTC,2.585213629
2022-01-03 15:00:00 UTC,3.094046071
2022-01-03 16:00:00 UTC,1.669184052
2022-01-03 17:00:00 UTC,1.934350298
2022-01-03 18:00:00 UTC,2.455253405
2022-01-03 19:00:00 UTC,2.373092807
2022-01-03 20:00:00 UTC,1.479428892
2022-01-03 21:00:00 UTC,2.348225851
2022-01-03 22:00:00 UTC,2.412918991
2022-01-03 23:00:00 UTC,2.193664931
2022-01-04 00:00:00 UTC,2.755404574
2022-01-04 01:00:00 UTC,2.707317814
2022-01-04 02:00:00 UTC,1.632794066
2022-01-04 03:00:00 UTC,2.501570177
2022-01-04 04:00:00 UTC,2.802108694
2022-01-04 05:00:00 UTC,2.556283189
2022-01-04 06:00:00 UTC,1.654425491
2022-01-04 07:00:00 UTC,3.401421584
2022-01-04 08:00:00 UTC,3.16093112
2022-01-04 09:00:00 UTC,3.452011611
2022-01-04 10:00:00 UTC,3.247167258
2022-01-04 11:00:00 UTC,2.598018789
2022-01-04 12:00:00 UTC,2.551754119
2022-01-04 13:00:00 UTC,2.986487574
2022-01-04 14:00:00 UTC,2.644162117
2022-01-04 15:00:00 UTC,2.653971441
2022-01-04 16:00:00 UTC,1.910555535
2022-01-04 17:00:00 UTC,2.871369241
2022-01-04 18:00:00 UTC,3.616984523
2022-01-04 19:00:00 UTC,3.319138969
2022-01-04 20:00:00 UTC,3.005267036
2022-01-04 21:00:00 UTC,3.437495425
2022-01-04 22:00:00 UTC,2.6397171
2022-01-04 23:00:00 UTC,2.172028576
2022-01-05 00:00:00 UTC,3.7291426
2022-01-05 01:00:00 UTC,2.760731253
2022-01-05 02:00:00 UTC,3.345962395
2022-01-05 03:00:00 UTC,2.099791789
2022-01-05 04:00:00 UTC,3.717750473
2022-01-05 05:00:00 UTC,2.236441201
2022-01-05 06:00:00 UTC,3.427473393
2022-01-05 07:00:00 UTC,3.242761485
2022-01-05 08:00:00 UTC,2.22565429
2022-01-05 09:00:00 UTC,3.284593751
2022-01-05 10:00:00 UTC,3.067367507
2022-01-05 11:00:00 UTC,3.502225416
2022-01-05 12:00:00 UTC,3.060475629
2022-01-05 13:00:00 UTC,3.10832554
2022-01-05 14:00:00 UTC,2.626484089
2022-01-05 15:00:00 UTC,2.468567243
2022-01-05 16:00:00 UTC,2.509331101
2022-01-05 17:00:00 UTC,3.817205086
2022-01-05 18:00:00 UTC,2.482112996
2022-01-05 19:00:00 UTC,3.580168345
2022-01-05 20:00:00 UTC,3.871085402
2022-01-05 21:00:00 UTC,3.439341803
